"id","name","iso_id","language_id"
"1","Afghanistan","1","2"
"2","Афганистан","1","1"
"3","Афганістан","1","3"
"4","Albania","2","2"
"5","Албания","2","1"
"6","Албанія","2","3"
"7","Antarctica","3","2"
"8","Антарктика","3","1"
"9","Антарктида","3","3"
"10","Algeria","4","2"
"11","Алжир","4","1"
"12","Алжир","4","3"
"13","American Samoa","5","2"
"14","Американское Самоа","5","1"
"15","Американське Самоа","5","3"
"16","Andorra","6","2"
"17","Андорра","6","1"
"18","Андорра","6","3"
"19","Angola","7","2"
"20","Ангола","7","1"
"21","Ангола","7","3"
"22","Antigua and Barbuda","8","2"
"23","Антигуа и Барбуда","8","1"
"24","Антигуа і Барбуда","8","3"
"25","Azerbaijan","9","2"
"26","Азербайджан","9","1"
"27","Азербайджан","9","3"
"28","Argentina","10","2"
"29","Аргентина","10","1"
"30","Аргентина","10","3"
"31","Australia","11","2"
"32","Австралия","11","1"
"33","Австралія","11","3"
"34","Austria","12","2"
"35","Австрия","12","1"
"36","Австрія","12","3"
"37","Bahamas","13","2"
"38","Багамские Острова","13","1"
"39","Багамські Острови","13","3"
"40","Bahrain","14","2"
"41","Бахрейн","14","1"
"42","Бахрейн","14","3"
"43","Bangladesh","15","2"
"44","Бангладеш","15","1"
"45","Бангладеш","15","3"
"46","Armenia","16","2"
"47","Армения","16","1"
"48","Вірменія","16","3"
"49","Barbados","17","2"
"50","Барбадос","17","1"
"51","Барбадос","17","3"
"52","Belgium","18","2"
"53","Бельгия","18","1"
"54","Бельгія","18","3"
"55","Bermuda","19","2"
"56","Бермуды","19","1"
"57","Бермудські Острови","19","3"
"58","Bhutan","20","2"
"59","Бутан","20","1"
"60","Бутан","20","3"
"61","Bolivia","21","2"
"62","Боливия","21","1"
"63","Болівія","21","3"
"64","Bosnia and Herzegovina","22","2"
"65","Босния и Герцеговина","22","1"
"66","Боснія і Герцеговина","22","3"
"67","Botswana","23","2"
"68","Ботсвана","23","1"
"69","Ботсвана","23","3"
"70","Bouvet Island","24","2"
"71","Остров Буве","24","1"
"72","Острів Буве","24","3"
"73","Brazil","25","2"
"74","Бразилия","25","1"
"75","Бразилія","25","3"
"76","Belize","26","2"
"77","Белиз","26","1"
"78","Беліз","26","3"
"79","British Indian Ocean Territory","27","2"
"80","Британская территория в Индийском океане","27","1"
"81","Британська Територія в Індійському Океані","27","3"
